piece_id,question_type,claude_answer,gemini_answer,gpt_answer,all_agree
16-3,time_signature,2/2,4/4,2/4,False
17-1,time_signature,4/4,2/2,4/4,False
17-2,time_signature,3/4,2/8,3/4,False
17-3,time_signature,3/8,4/4,3/8,False
18-1,time_signature,3/4,2/2,3/4,False
18-2,time_signature,2/4,2/2,2/4,False
18-3,time_signature,3/4,3/4,3/4,True
18-4,time_signature,6/8,4/4,6/8,False
19-1,time_signature,2/4,4/4,2/4,False
19-2,time_signature,6/8,6/8,6/8,True
20-1,time_signature,2/2,4/4,2/4,False
20-2,time_signature,3/4,2/2,3/4,False
21-1,time_signature,4/4,4/4,4/4,True
21-2,time_signature,6/8,2/2,6/8,False
21-3,time_signature,2/4,2/2,2/4,False
23-1,time_signature,12/8,4/4,12/8,False
23-2,time_signature,2/4,4/4,2/4,False
23-3,time_signature,2/4,4/4,4/4,False
24-1,time_signature,2/4,4/4,2/4,False
24-2,time_signature,2/4,2/2,2/4,False
26-1,time_signature,2/4,4/4,2/4,False
26-2,time_signature,2/4,2/2,2/4,False
26-3,time_signature,6/8,4/4,6/8,False
29-1,time_signature,4/4,4/4,2/2,False
29-2,time_signature,3/4,2/4,3/4,False
29-3,time_signature,6/8,6/8,6/8,True
29-4,time_signature,3/4,4/4,6/8,False
30-1,time_signature,2/4,4/4,2/4,False
30-2,time_signature,6/8,4/4,6/8,False
30-3,time_signature,2/4,9/8,3/4,False
31-1,time_signature,3/4,4/4,3/4,False
31-2,time_signature,2/4,4/4,2/4,False
31-3,time_signature,4/4,4/4,4/4,True
32-1,time_signature,4/4,4/4,4/4,True
32-2,time_signature,9/16,2/2,9/16,False
